city,date,aqi,pollution,level,cond
常德,2012-01-01,89,可吸入颗粒物,Ⅱ,良	
常德,2012-01-02,111,可吸入颗粒物,Ⅲ1,轻微污染	
常德,2012-01-03,112,可吸入颗粒物,Ⅲ1,轻微污染	
常德,2012-01-04,69,二氧化硫,Ⅱ,良	
常德,2012-01-05,59,二氧化硫,Ⅱ,良	
常德,2012-01-06,69,二氧化硫,Ⅱ,良	
常德,2012-01-07,68,可吸入颗粒物,Ⅱ,良	
常德,2012-01-08,73,二氧化硫,Ⅱ,良	
常德,2012-01-09,92,可吸入颗粒物,Ⅱ,良	
常德,2012-01-10,106,可吸入颗粒物,Ⅲ1,轻微污染	
常德,2012-01-11,104,二氧化硫,Ⅲ1,轻微污染	
常德,2012-01-12,102,可吸入颗粒物,Ⅲ1,轻微污染	
常德,2012-01-13,100,可吸入颗粒物,Ⅱ,良	
常德,2012-01-14,90,可吸入颗粒物,Ⅱ,良	
常德,2012-01-15,74,可吸入颗粒物,Ⅱ,良	
常德,2012-01-16,65,可吸入颗粒物,Ⅱ,良	
常德,2012-01-17,58,可吸入颗粒物,Ⅱ,良	
常德,2012-01-18,52,可吸入颗粒物,Ⅱ,良	
常德,2012-01-19,55,可吸入颗粒物,Ⅱ,良	
常德,2012-01-20,50,--,Ⅰ,优	
常德,2012-01-21,49,--,Ⅰ,优	
常德,2012-01-22,46,--,Ⅰ,优	
常德,2012-01-23,63,可吸入颗粒物,Ⅱ,良	
常德,2012-01-24,59,可吸入颗粒物,Ⅱ,良	
常德,2012-01-25,54,可吸入颗粒物,Ⅱ,良	
常德,2012-01-26,53,可吸入颗粒物,Ⅱ,良	
常德,2012-01-27,55,可吸入颗粒物,Ⅱ,良	
常德,2012-01-28,65,可吸入颗粒物,Ⅱ,良	
常德,2012-01-29,70,可吸入颗粒物,Ⅱ,良	
常德,2012-01-30,58,可吸入颗粒物,Ⅱ,良	
常德,2012-01-31,52,可吸入颗粒物,Ⅱ,良	
常德,2012-02-01,45,--,Ⅰ,优	
常德,2012-02-02,66,可吸入颗粒物,Ⅱ,良	
常德,2012-02-03,50,--,Ⅰ,优	
常德,2012-02-04,48,--,Ⅰ,优	
常德,2012-02-05,58,可吸入颗粒物,Ⅱ,良	
常德,2012-02-06,63,可吸入颗粒物,Ⅱ,良	
